Adam | Eve
life | death
back | forth
lock | key
bacon | eggs
lost | found
bed | breakfast
man | wife
birds | bees
name | address
nice | easy
black | white
body | soul
null | void
bread | butter
peaches | cream
bread | water
pen | pencil
bricks | mortar
pork | beans
bride | groom
pots | pans
business | pleasure
prim | proper
by | large
profit | loss
cause | effect
pros | cons
cloak | dagger
pure | simple
coat | tie
rain | shine
coffee | doughnuts
ranting | raving
cream | sugar
read | write
crime | punishment
right | wrong
cup | saucer
rise | fall
dead | alive
salt | pepper
down | out
shirt | tie
first | last
shoes | socks
fish | chips
short | fat
flesh | blood
signed | sealed
forgive | forget
slip | slide
front | centre
soap | water
fun | games
sooner | later
give | take
stars | stripes
ham | eggs
suit | tie
hammer | nail
supply | demand
hemmed | hawed
sweet | sour
high | dry
tall | thin
high | low
thick | thin
hot | bothered
tossed | turned
huffing | puffing
touch | go
husband | wife
trial | error
in | out
trials | tribulations
Jack | Jill
up | down
knife | fork
wait | see
ladies | gentlemen
war | peace
law | order
wine | cheese
on | off
